"","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DATE","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_RH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_RH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY"
"1095","2013_ID-CWF-001033_JOHNAGAN COMPLEX","JOHNAGAN COMPLEX",1,1,NA,2013,"ID-CWF-001033","ID","04-Sep-13",247,1300,"JOHNAGAN COMPLEX",2013,"12-Aug-13",224,"12-Aug-13",224,"U",60,"ACRES","WF","MM","Neal Cox","5","Type 4 IC","L","Lightning","Clearwater",46.519444,115.405833,2,NA,NA,"IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"M",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"1096","2013_ID-CWF-001052_COW CREEK COMPLEX","COW CREEK COMPLEX",1,1,NA,2013,"ID-CWF-001052","ID","04-Sep-13",247,1500,"COW CREEK COMPLEX",2013,"23-Aug-13",235,"23-Aug-13",235,"U",10,"ACRES","WF","MM","Brett Rogers","4","Type 3 IC","L","Lightning","Clearwater",46.371111,115.420833,NA,NA,NA,"IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"M",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"1097","2013_MT-SWS-000068_LOLO CREEK COMPLEX","LOLO CREEK COMPLEX",1,NA,NA,2013,"MT-SWS-000068","MT","04-Sep-13",247,1500,"LOLO CREEK COMPLEX",2013,"18-Aug-13",230,"18-Aug-13",230,"U",10902,"ACRES","WF","FS","Karl Nikoleyczik","4","Type 3 IC","L","Lightning","Missoula",46.7725,114.250833,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",97,"P","05-Sep-13",NA,"MILES",NA,"30-Aug-13",NA,5,0,0,"N","N","N","Y","4-8","S","88","25","5-10","SE","85","40",2,"Low","Extreme",NA,NA
"1098","2013_ID-STF-000423_KELLEY",NA,NA,NA,NA,2013,"ID-STF-000423","ID","04-Sep-13",247,1600,"KELLEY",2013,"24-Aug-13",236,"24-Aug-13",236,"U",16467,"ACRES","WF","FS","T. Dunford","2","Type 2 Team","L","Lightning","Elmore",43.556944,115.099722,NA,NA,NA,"IDSTF","EB","Federal","USDA","FS","ID","STF",40,"P",NA,NA,"CHAINS",NA,"07-Sep-13",NA,13,3,0,"N","N","Y","N","18","SE","82","35","10","S","81","39",10,"Low","Extreme",1,1
"1099","2013_MT-BDF-000246_BEAVER CREEK",NA,NA,1,NA,2013,"MT-BDF-000246","MT","04-Sep-13",247,1600,"BEAVER CREEK",2013,"28-Aug-13",240,"28-Aug-13",240,"U",75,"ACRES","WF","PZ","D. Hutton","8","Type 2 IC","L","Lightning","Beaverhead",45.887222,113.520833,NA,NA,NA,"MTBDF","NR","Federal","USDA","FS","MT","BDF(MT-DDC)",0,"M",NA,0,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N","0","VAR","71","46","5-10","S","70-75","32-42",10,"Medium","High",NA,NA
"1100","2013_ID-STF-000389_LITTLE QUEENS",NA,NA,1,NA,2013,"ID-STF-000389","ID","04-Sep-13",247,1611,"LITTLE QUEENS",2013,"17-Aug-13",229,"17-Aug-13",229,"U",26500,"ACRES","WF","CC","DALE SPRINGER","4","Type 3 IC","U","Under Investigation","Elmore",43.886667,115.179722,NA,NA,NA,"IDSTF","EB","Federal","USDA","FS","ID","STF",20,"P","30-Oct-13",NA,"MILES",NA,"04-Sep-13",NA,0,0,0,"N","N","N","Y","13","VAR","82","31","8-13-26","SE","79","34",10,"Medium","Extreme",3,2
"1101","2013_MT-BRF-13039_GOLD PAN COMPLEX","GOLD PAN COMPLEX",1,1,NA,2013,"MT-BRF-13039","MT","04-Sep-13",247,1700,"GOLD PAN COMPLEX",2013,"16-Jul-13",197,"16-Jul-13",197,"U",42749,"ACRES","WF","PZ","Jeff Handel","3","Type 3 Team","L","Lightning","Idaho",45.656944,114.779722,NA,NA,NA,"MTBRF","NR","Federal","USDA","FS","MT","BRF",0,"P",NA,NA,"CHAINS",NA,NA,NA,4,0,0,"N","N","Y","N","9","SSE","85","30","5-15","SE","75-85","41",10,"High","High",NA,NA
"1102","2013_WY-SHF-437_BURROUGHS",NA,NA,1,NA,2013,"WY-SHF-437","WY","04-Sep-13",247,1700,"BURROUGHS",2013,"30-Aug-13",242,"30-Aug-13",242,"U",1794,"ACRES","WF","CC","Haslam","3","Type 3 Team","L","Lightning","Fremont",43.688333,109.663333,NA,NA,NA,"WYSHF","RM","Federal","USDA","FS","WY","SHF",14,"P",NA,NA,"CHAINS",NA,NA,NA,1,1,0,"N","N","N","N",NA,NA,NA,NA,"6-11","NW","73-77","21-24",10,"Medium","High",1,NA
"1103","2013_MT-GNF-0111_MINER PARADISE COMPLEX","MINER PARADISE COMPLEX",1,NA,NA,2013,"MT-GNF-0111","MT","04-Sep-13",247,1727,"MINER PARADISE COMPLEX",2013,"16-Aug-13",228,"16-Aug-13",228,"U",11909,"ACRES","WF","FS","Bennett","2","Type 2 Team","L","Lightning","Park",45.480556,110.895278,NA,NA,NA,"MTGNF","NR","Federal","USDA","FS","MT","GNF",75,"P","15-Oct-13",NA,"CHAINS","25-Oct-13",NA,NA,7,0,0,"N","N","Y","N","10","E","76","38","5","SW","80","30",10,"Medium","Extreme",NA,NA
"1104","2013_MT-GNF-000112_MOUNT TWO TOP",NA,NA,NA,NA,2013,"MT-GNF-000112","MT","04-Sep-13",247,1730,"MOUNT TWO TOP",2013,"30-Aug-13",242,"30-Aug-13",242,"U",137,"ACRES","WF","FS","Jay Northcott","4","Type 3 IC","L","Lightning","Galitan",44.582222,111.229167,NA,NA,NA,"MTGNF","NR","Federal","USDA","FS","MT","GNF",60,"P","15-Sep-13",2500,"FEET",NA,"09-Sep-13",NA,2,1,0,"N","N","N","N","30","SW","79","31","15-25","S","76","34",10,"Medium","Medium",NA,NA
