INCIDENT_ID_KS,KS_COMPLEX_NAME,COMPLEX_FLAG,LTFS_DAY,LTFS_FIRE,REPORT_YEAR,INCIDENT_NUMBER,ST_INCNUM,REPORT_DATE,REPORT_DOY,HOUR,INCIDENT_NAME,START_YEAR,START_DATE,START_DOY,START_DATE_CORRECTED,START_DOY_CORRECTED,STATUS,AREA,AREA_MEASUREMENT,TYPE_INC,SUPPRESSION_METHOD,IC_NAME,IMT_TYPE,IMT_TYPE_DESCRIPTION,CAUSE,CAUSE_DESCR,COUNTY,LATITUDE,LONGITUDE,LL_QC,UN_USTATE,UN_UNITID,NWCG_UNITID,GACC,UnitType,Department,Agency,OWNERSHIP_STATE,OWNERSHIP_UNITID,P_CONTAIN,PERCENT_MMA,EXP_CONTAIN,LINE_TO_BUILD,LINE_MEASUREMENT,EST_CONTROL,DEMOBE_START,CONTROLLED_DATE,INJURIES_TO_DATE,INJURIES,FATALITIES,EVACUATION_IN_PROGRESS,NO_EVACUATION,POTENTIAL,NO_LIKELY,C_WIND_SPEED,C_WIND_DIRECTION,C_TEMP,C_RH,F_WIND_SPEED,F_WIND_DIRECTION,F_TEMP,F_RH,PRIMARY_FUEL_MODEL,GROWTH_POTENTIAL,TERRAIN,GACC_PRIORITY,DISPATCH_PRIORITY,FAT,UNIT_TYPE,ST_INC,ST_UNIT
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,25-Aug-08,238,1700,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,3243,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,173,SSW,132,31,322,W,136,112,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,26-Aug-08,239,1730,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,3450,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,105,SW,114,92,218,S,128,101,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,27-Aug-08,240,1755,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,3500,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,136,SW,77,92,326,W,192,141,10,Medium,Medium,9,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,28-Aug-08,241,1740,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,3650,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,55,S,103,60,273,SSW,229,57,10,Medium,Medium,NA,1,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,30-Aug-08,243,1800,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,3740,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,Y,110,S,105,63,126,S,79,265,10,Medium,Medium,4,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,31-Aug-08,244,1715,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,3901,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,Y,146,SSW,87,81,178,S,44,251,10,Medium,Medium,NA,1,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,14-Sep-08,258,1720,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,4510,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,15-Sep-08,259,1650,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,4560,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,19-Sep-08,263,1720,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,5443,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,134,SSW,96,51,394,NE,128,193,10,Medium,Medium,NA,3,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,12-Nov-08,317,1015,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,F,5664,ACRES,WFU,NA,Chris Ourada,A,FUM1,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,3-Nov-08,0,NA,0,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,10,Medium,Medium,NA,NA,0,Federal,ID,ID
